Date,Carrier,FlightNumber,DepAirport,DepCity,DepState,ArrAirport,ArrCity,ArrState,DepTime,DepDelay,ArrTIme,ArrDelay,Cancelled,CancelReason,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,ArrStatus,DepStatus,DelayCause
Dec,United,654,ORD,"Chicago, IL",IL,MCO,"Orlando, FL",FL,0559,-1,1119,101,0,NA,0,0,101,0,0,Late,On Time,NA
Dec,United,531,ORD,"Chicago, IL",IL,LAX,"Los Angeles, CA",CA,1250,169,1504,149,0,NA,149,0,0,0,0,Late,Late,Carrier
Dec,United,515,ORD,"Chicago, IL",IL,SMF,"Sacramento, CA",CA,1958,28,2306,59,0,NA,3,0,31,0,25,Late,Late,Late Aircraft
Dec,United,509,ORD,"Chicago, IL",IL,LGA,"New York, NY",NY,1356,-4,1705,0,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,United,432,ORD,"Chicago, IL",IL,MCO,"Orlando, FL",FL,1510,30,1910,53,0,NA,10,0,23,0,20,Late,Late,Late Aircraft
Dec,United,397,ORD,"Chicago, IL",IL,TPA,"Tampa, FL",FL,1415,-5,1823,22,0,NA,0,0,22,0,0,Late,On Time,NA
Dec,United,374,ORD,"Chicago, IL",IL,IAH,"Houston, TX",TX,1245,-2,1536,-1,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,United,269,ORD,"Chicago, IL",IL,DEN,"Denver, CO",CO,1935,0,2114,-1,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,United,262,ORD,"Chicago, IL",IL,SEA,"Seattle, WA",WA,2029,39,2334,66,0,NA,6,0,27,0,33,Late,Late,Late Aircraft
Dec,United,226,ORD,"Chicago, IL",IL,BWI,"Baltimore, MD",MD,2110,-5,0010,11,0,NA,NA,NA,NA,NA,NA,Late,On Time,NA
Dec,Endeavor,5223,DSM,"Des Moines, IA",IA,DTW,"Detroit, MI",MI,1346,-8,1624,-28,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,Endeavor,3353,DTW,"Detroit, MI",MI,SAV,"Savannah, GA",GA,2015,-5,2232,-18,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,Endeavor,3394,DTW,"Detroit, MI",MI,MBS,"Saginaw/Bay City/Midland, MI",MI,1550,-5,1640,-20,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,Endeavor,3408,MSP,"Minneapolis, MN",MN,LEX,"Lexington, KY",KY,1750,-5,2059,-10,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,Endeavor,3418,DTW,"Detroit, MI",MI,ORF,"Norfolk, VA",VA,1000,-5,1145,-27,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,Endeavor,3424,DTW,"Detroit, MI",MI,CVG,"Cincinnati, OH",KY,0759,-6,0905,-33,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,Endeavor,3431,ORD,"Chicago, IL",IL,CVG,"Cincinnati, OH",KY,1942,22,2209,33,0,NA,0,0,11,0,22,Late,Late,Late Aircraft
